"number","enunciation","group"
1,"Os títulos de telas, janelas  e caixas de diálogo estão no alto, centrados ou justificados à esquerda?","6292913cc56472279fa80e4a"
2,"Todos os campos e mostradores de dados possuem rótulos identificativos?","6292914cc56472279fa80e4a"
3,"Caso o dado a entrar possua um formato particular, esse formato encontra-se descrito na tela?","6292915cc56472279fa80e4a"
4,"As unidades para a entrada ou apresentação de dados métricos ou financeiros encontram-se descritas na tela?","6292916cc56472279fa80e4a"
5,"Os rótulos dos campos contêm um elemento específico, por exemplo "":"", como convite às entradas de dados?","6292917cc56472279fa80e4a"
6,"Caso o dado a entrar possua valores aceitáveis esses valores encontram-se descritos na tela?","6292918cc56472279fa80e4a"
7,"Listas longas apresentam indicadores de continuação, de quantidade de itens e de páginas?","6292919cc56472279fa80e4a"
8,"As tabelas apresentam cabeçalhos para linhas e colunas consistentes e distinguíveis dos dados apresentados?","6292920cc56472279fa80e4a"
9,"Os gráficos possuem um título geral e rótulos para seus eixos?","6292921cc56472279fa80e4a"
10,"Os botões que comandam a apresentação de caixas de diálogo apresentam em seus rótulos o sinal ""..."" como indicador da continuidade do diálogo?","6292922cc56472279fa80e4a"
11,"As páginas de menus possuem títulos, cabeçalhos ou convites à entrada?","6292923cc56472279fa80e4a"
12,"As opções de menu que levam a outros painéis de menu apresentam o sinal "">"" como indicador desse fato?","6292924cc56472279fa80e4a"
13,"O usuário encontra disponíveis as informações necessárias para suas ações?","6292925cc56472279fa80e4a"
14,"Nas caixas de mensagens de erro, o botão de comando ""AJUDA"" está sempre presente?","6292926cc56472279fa80e4a"
15,"A resposta para uma solicitação de ajuda do usuário está estruturada no contexto da tarefa e da transação corrente?","6292927cc56472279fa80e4a"
16,"Existe a possibilidade do usuário obter a lista de comandos básicos da linguagem?","6292928cc56472279fa80e4a"
17,"Na ocorrência de erros, o usuário pode acessar todas as informações necessárias ao diagnóstico e à solução do problema?","6292929cc56472279fa80e4a"
1,"O espaço de apresentação está diagramado em pequenas zonas funcionais?","6292913cc56472279fa80e4b"
2,"A disposição dos objetos de interação de uma caixa de dialogo segue uma ordem lógica?","6292914cc56472279fa80e4b"
3,"Nos agrupamentos de dados, os itens estão organizados espacialmente segundo um critério lógico?","6292915cc56472279fa80e4b"
4,"Os códigos das teclas aceleradoras de opções de menu estão localizados à direita do nome da opção?","6292916cc56472279fa80e4b"
