number,enunciation,group
1,"Os títulos de telas, janelas  e caixas de diálogo estão no alto, centrados ou justificados à esquerda?",6296cb78a050b76fed6d5bc1
2,Todos os campos e mostradores de dados possuem rótulos identificativos?,6296cb78a050b76fed6d5bc1
3,"Caso o dado a entrar possua um formato particular, esse formato encontra-se descrito na tela?",6296cb78a050b76fed6d5bc1
4,As unidades para a entrada ou apresentação de dados métricos ou financeiros encontram-se descritas na tela?,6296cb78a050b76fed6d5bc1
5,"Os rótulos dos campos contêm um elemento específico, por exemplo "":"", como convite às entradas de dados?",6296cb78a050b76fed6d5bc1
6,Caso o dado a entrar possua valores aceitáveis esses valores encontram-se descritos na tela?,6296cb78a050b76fed6d5bc1
7,"Listas longas apresentam indicadores de continuação, de quantidade de itens e de páginas?",6296cb78a050b76fed6d5bc1
8,As tabelas apresentam cabeçalhos para linhas e colunas consistentes e distinguíveis dos dados apresentados?,6296cb78a050b76fed6d5bc1
9,Os gráficos possuem um título geral e rótulos para seus eixos?,6296cb78a050b76fed6d5bc1
10,"Os botões que comandam a apresentação de caixas de diálogo apresentam em seus rótulos o sinal ""..."" como indicador da continuidade do diálogo?",6296cb78a050b76fed6d5bc1
11,"As páginas de menus possuem títulos, cabeçalhos ou convites à entrada?",6296cb78a050b76fed6d5bc1
12,"As opções de menu que levam a outros painéis de menu apresentam o sinal "">"" como indicador desse fato?",6296cb78a050b76fed6d5bc1
13,O usuário encontra disponíveis as informações necessárias para suas ações?,6296cb78a050b76fed6d5bc1
14,"Nas caixas de mensagens de erro, o botão de comando ""AJUDA"" está sempre presente?",6296cb78a050b76fed6d5bc1
15,A resposta para uma solicitação de ajuda do usuário está estruturada no contexto da tarefa e da transação corrente?,6296cb78a050b76fed6d5bc1
16,Existe a possibilidade do usuário obter a lista de comandos básicos da linguagem?,6296cb78a050b76fed6d5bc1
17,"Na ocorrência de erros, o usuário pode acessar todas as informações necessárias ao diagnóstico e à solução do problema?",6296cb78a050b76fed6d5bc1
1,O espaço de apresentação está diagramado em pequenas zonas funcionais?,6296cb78a050b76fed6d5bc2
2,A disposição dos objetos de interação de uma caixa de dialogo segue uma ordem lógica?,6296cb78a050b76fed6d5bc2
3,"Nos agrupamentos de dados, os itens estão organizados espacialmente segundo um critério lógico?",6296cb78a050b76fed6d5bc2
4,Os códigos das teclas aceleradoras de opções de menu estão localizados à direita do nome da opção?,6296cb78a050b76fed6d5bc2
